127.0.0.1, 2015-06-16 09:23:15, GET, /, HTTP/1.1, 303, 0.623007
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.552873
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002103
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000669
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000919
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004519
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003022
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001070
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002073
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001275
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002738
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000751
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000631
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001058
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000600
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002145
127.0.0.1, 2015-06-16 09:23:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001802
127.0.0.1, 2015-06-16 09:23:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000761
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 303, 0.196698
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/default/index, HTTP/1.1, 200, 0.124021
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.001211
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.001903
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.003202
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001317
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000515
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.002409
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000925
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000616
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001533
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.000544
127.0.0.1, 2015-06-16 09:24:31, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001543
127.0.0.1, 2015-06-16 09:24:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000416
127.0.0.1, 2015-06-16 09:24:39, POST, /admin/default/index, HTTP/1.1, 303, 0.074923
127.0.0.1, 2015-06-16 09:24:39, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.047649
127.0.0.1, 2015-06-16 09:24:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000528
127.0.0.1, 2015-06-16 09:24:52, GET, /admin/default/index, HTTP/1.1, 303, 0.005807
127.0.0.1, 2015-06-16 09:24:53, GET, /admin/default/site, HTTP/1.1, 200, 0.106103
127.0.0.1, 2015-06-16 09:24:53, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 200, 0.001666
127.0.0.1, 2015-06-16 09:24:53, GET, /admin/static/_2.11.2/images/folder.png, HTTP/1.1, 200, 0.001258
127.0.0.1, 2015-06-16 09:24:53, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-06-16 09:24:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2015-06-16 09:24:54, POST, /admin/default/check_version, HTTP/1.1, 200, 1.148224
127.0.0.1, 2015-06-16 09:24:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.125200
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/default/index, HTTP/1.1, 200, 0.125934
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001108
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001081
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002003
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001768
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.003026
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003647
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000403
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001353
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001530
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001727
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001078
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000926
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000926
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002916
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002482
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000735
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000972
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001883
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.002539
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001550
127.0.0.1, 2015-06-16 09:25:23, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001361
